Region,Type,X point, Y point, Z point
LEFTSUPERIORLOBE,OBLIQUEFISSURE,121.921,-177.636,1214
LEFTSUPERIORLOBE,OBLIQUEFISSURE,121.921,-167.587,1226.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,121.921,-162.227,1235
LEFTSUPERIORLOBE,OBLIQUEFISSURE,121.921,-154.858,1244.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,113.882,-172.276,1224.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,113.882,-162.897,1239.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,113.882,-154.188,1251.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,113.882,-144.809,1263.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,113.882,-134.091,1275.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,101.823,-163.567,1238
LEFTSUPERIORLOBE,OBLIQUEFISSURE,101.823,-156.198,1253.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,101.823,-144.809,1267.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,101.823,-138.78,1280
LEFTSUPERIORLOBE,OBLIQUEFISSURE,101.823,-131.411,1291
LEFTSUPERIORLOBE,OBLIQUEFISSURE,101.823,-126.052,1304.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,89.7647,-146.819,1273
LEFTSUPERIORLOBE,OBLIQUEFISSURE,89.7647,-138.78,1287
LEFTSUPERIORLOBE,OBLIQUEFISSURE,89.7647,-130.741,1299.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,89.7647,-128.061,1314
LEFTSUPERIORLOBE,OBLIQUEFISSURE,89.7647,-122.032,1330
LEFTSUPERIORLOBE,OBLIQUEFISSURE,77.0362,-142.13,1284
LEFTSUPERIORLOBE,OBLIQUEFISSURE,77.0362,-136.77,1303.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,77.0362,-130.741,1319.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,77.0362,-126.722,1330
LEFTSUPERIORLOBE,OBLIQUEFISSURE,77.0362,-122.032,1344.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,66.9874,-144.14,1298
LEFTSUPERIORLOBE,OBLIQUEFISSURE,66.9874,-143.47,1300.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,66.9874,-140.79,1312
LEFTSUPERIORLOBE,OBLIQUEFISSURE,66.9874,-133.421,1322.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,66.9874,-126.722,1337
LEFTSUPERIORLOBE,OBLIQUEFISSURE,66.9874,-123.372,1347.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,66.9874,-120.692,1357
LEFTSUPERIORLOBE,OBLIQUEFISSURE,55.5987,-140.12,1325.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,55.5987,-133.421,1335.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,55.5987,-126.722,1349.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,55.5987,-124.042,1359
LEFTSUPERIORLOBE,OBLIQUEFISSURE,41.5304,-146.819,1332.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,41.5304,-138.78,1341.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,41.5304,-131.411,1356.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,32.1514,-146.149,1337.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,32.1514,-140.79,1348
RIGHTLUNG,OBLIQUEFISSURE,-111.212,-199.073,1241.5
RIGHTLUNG,OBLIQUEFISSURE,-111.212,-191.034,1249
RIGHTLUNG,OBLIQUEFISSURE,-111.212,-180.985,1257
RIGHTLUNG,OBLIQUEFISSURE,-111.212,-170.936,1263.5
RIGHTLUNG,OBLIQUEFISSURE,-99.1533,-203.763,1242.5
RIGHTLUNG,OBLIQUEFISSURE,-99.1533,-192.374,1251
RIGHTLUNG,OBLIQUEFISSURE,-99.1533,-176.966,1262
RIGHTLUNG,OBLIQUEFISSURE,-99.1533,-160.218,1274
RIGHTLUNG,OBLIQUEFISSURE,-99.1533,-150.169,1283
RIGHTLUNG,OBLIQUEFISSURE,-99.1533,-138.11,1292
RIGHTLUNG,OBLIQUEFISSURE,-86.4247,-200.413,1243.5
RIGHTLUNG,OBLIQUEFISSURE,-86.4247,-180.985,1257.5
RIGHTLUNG,OBLIQUEFISSURE,-86.4247,-166.917,1267.5
RIGHTLUNG,OBLIQUEFISSURE,-86.4247,-149.499,1282
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-86.4247,-138.78,1293
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-86.4247,-132.081,1302.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-86.4247,-124.712,1309.5
RIGHTLUNG,OBLIQUEFISSURE,-75.0361,-198.403,1241
RIGHTLUNG,OBLIQUEFISSURE,-75.0361,-180.985,1254
RIGHTLUNG,OBLIQUEFISSURE,-75.0361,-162.227,1269.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-75.0361,-146.149,1286.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-75.0361,-135.431,1302
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-75.0361,-125.382,1312
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-75.0361,-115.333,1321.5
RIGHTLUNG,OBLIQUEFISSURE,-56.9482,-182.995,1241
RIGHTLUNG,OBLIQUEFISSURE,-56.9482,-165.577,1257.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-56.9482,-151.509,1278
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-56.9482,-138.11,1294.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-56.9482,-125.382,1311.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-56.9482,-111.313,1330
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-46.2294,-134.091,1302
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-46.2294,-122.032,1318
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-46.2294,-112.653,1331
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-34.1708,-125.382,1315.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-34.1708,-116.673,1326
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-34.1708,-113.323,1335
RIGHTLUNG,HORIZONTALFISSURE,-110.542,-179.645,1264.5
RIGHTLUNG,HORIZONTALFISSURE,-110.542,-185.675,1267.5
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-64.9872,-159.548,1276
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-64.9872,-170.267,1276.5
